Wall time,Step,Value
1642028534.4799385,0,0.45693960785865784
1642028619.7854917,1,0.45693960785865784
1642028718.0541515,2,0.45693960785865784
1642028849.8757355,3,0.45693960785865784
1642028960.4176738,4,0.45693960785865784
1642029088.938999,5,0.45693960785865784
1642029193.8014839,6,0.45693960785865784
1642029348.328322,7,0.45693960785865784
1642029449.7548254,8,0.45693960785865784
1642029550.26059,9,0.45693960785865784
1642029674.6877115,10,0.45693960785865784
1642029833.1073766,11,0.45693960785865784
1642029956.311961,12,0.45693960785865784
1642030092.4970088,13,0.45693960785865784
1642030248.1494787,14,0.45693960785865784
1642030353.3790138,15,0.45693960785865784
1642030446.5661142,16,0.45693960785865784
1642030610.95379,17,0.45693960785865784
1642030730.0056067,18,0.45693960785865784
1642030882.942636,19,0.45693960785865784
1642031026.3392026,20,0.45693960785865784
1642031147.5018322,21,0.45693960785865784
1642031270.2111585,22,0.45693960785865784
1642031399.2497313,23,0.45693960785865784
1642031523.9990733,24,0.45693960785865784
1642031641.8322556,25,0.45693960785865784
1642031733.2812018,26,0.45693960785865784
1642031856.041536,27,0.45693960785865784
1642032022.45337,28,0.45693960785865784
1642032179.464572,29,0.45693960785865784
1642032296.421466,30,0.45693960785865784
1642032414.9070346,31,0.45693960785865784
1642032551.3732545,32,0.45693960785865784
1642032707.6444924,33,0.45693960785865784
1642032834.4641697,34,0.45693960785865784
1642032965.42455,35,0.45693960785865784
1642033091.3283134,36,0.45693960785865784
1642033223.3022478,37,0.45693960785865784
1642033368.6716073,38,0.45693960785865784
1642033457.4332366,39,0.45693960785865784
1642033569.1528,40,0.45693960785865784
1642033686.5569916,41,0.45693960785865784
1642033812.1331568,42,0.45693960785865784
1642033955.4893281,43,0.45693960785865784
1642034048.1244848,44,0.45693960785865784
1642034162.7849686,45,0.45693960785865784
1642034276.8823044,46,0.45693960785865784
1642034420.0035968,47,0.45693960785865784
1642034501.6410608,48,0.45693960785865784
1642034613.8830903,49,0.45693960785865784
1642034723.1390157,50,0.45693960785865784
1642034814.2995791,51,0.45693960785865784
1642034929.3628905,52,0.45693960785865784
1642035022.148146,53,0.45693960785865784
1642035160.094771,54,0.45693960785865784
1642035301.6927183,55,0.45693960785865784
1642035408.2254815,56,0.45693960785865784
1642035548.6487007,57,0.45693960785865784
1642035633.9248307,58,0.45693960785865784
1642035724.9596527,59,0.45693960785865784
1642035864.2857063,60,0.45693960785865784
1642035986.270484,61,0.45693960785865784
1642036080.9990036,62,0.45693960785865784
1642036178.9872484,63,0.45693960785865784
1642036307.2795198,64,0.45693960785865784
1642036402.2167742,65,0.45693960785865784
1642036514.692163,66,0.45693960785865784
1642036614.0632963,67,0.45693960785865784
1642036715.4041593,68,0.45693960785865784
1642036823.93124,69,0.45693960785865784
1642036996.7253897,70,0.45693960785865784
1642037146.440266,71,0.45693960785865784
1642037260.731542,72,0.45693960785865784
1642037374.2106814,73,0.45693960785865784
1642037494.7813225,74,0.45693960785865784
1642037613.0040016,75,0.45693960785865784
1642037769.74254,76,0.45693960785865784
1642037889.2571065,77,0.45693960785865784
1642038040.5412507,78,0.45693960785865784
1642038176.1868508,79,0.45693960785865784
1642038293.1016412,80,0.45693960785865784
1642038412.0449076,81,0.45693960785865784
1642038543.6547146,82,0.45693960785865784
1642038695.9418437,83,0.45693960785865784
1642038796.8411903,84,0.45693960785865784
1642038916.8367875,85,0.45693960785865784
1642039015.91569,86,0.45693960785865784
1642039131.3259046,87,0.45693960785865784
1642039291.51311,88,0.45693960785865784
1642039416.6595418,89,0.45693960785865784
1642039542.5564144,90,0.45693960785865784
1642039645.81635,91,0.45693960785865784
1642039777.2348168,92,0.45693960785865784
1642039940.3389108,93,0.45693960785865784
1642040071.1784015,94,0.45693960785865784
1642040240.7753742,95,0.45693960785865784
1642040437.2932417,96,0.45693960785865784
1642040576.0313804,97,0.45693960785865784
1642040732.3079283,98,0.45693960785865784
1642040857.000004,99,0.45693960785865784
1642040978.6893733,100,0.45693960785865784
1642041129.2315664,101,0.45693960785865784
1642041252.2671769,102,0.45693960785865784
1642041410.340134,103,0.45693960785865784
1642041544.2708344,104,0.45693960785865784
